"Symbol";"BuyDate";"SellDate";"SellAtAgeDays";"OriginalBuyQuantity";"SellQuantity";"TotalSellQuantity";"AdjustedOriginalBuyQuantity";"AdjustedSellQuantity";"AdjustedTotalSellQuantity";"OriginalBuyAmount";"BuyAmount";"SellAmount";"TotalSellAmount";"BuyAmountPerShare";"SellAmountPerShare";"AdjustedBuyAmountPerShare";"AdjustedSellAmountPerShare";"Profit";"ProfitPercent"
"AAAA";"14.11.2019 17:13:14";"27.03.2021 12:25:02";"499";"20";"20";"129";"20";"20";"129";"1211,20";"1211,20";"1855,4000000000000000000000005";"11967,33";"60,56";"92,77";"60,56";"92,77";"644,20";"0,5318692206076618"
"AAAA";"16.11.2019 15:23:23";"27.03.2021 12:25:02";"497";"20";"20";"129";"20";"20";"129";"1228,60";"1228,60";"1855,4000000000000000000000005";"11967,33";"61,43";"92,77";"61,43";"92,77";"626,80";"0,5101741819957676"
"AAAA";"20.12.2019 15:34:31";"27.03.2021 12:25:02";"463";"6";"6";"129";"6";"6";"129";"361,86";"361,86";"556,61999999999999999999999967";"11967,33";"60,31";"92,77";"60,31";"92,77";"194,76";"0,538219200795888"
"AAAA";"25.03.2020 15:36:12";"27.03.2021 12:25:02";"367";"15";"15";"129";"15";"15";"129";"1023,45";"1023,45";"1391,5500000000000000000000004";"11967,33";"68,23";"92,77";"68,23";"92,77";"368,10";"0,35966583614245934"
"AAAA";"16.04.2020 16:48:12";"27.03.2021 12:25:02";"345";"11";"11";"129";"11";"11";"129";"814,00";"814,00";"1020,4699999999999999999999998";"11967,33";"74,00";"92,77";"74,00";"92,77";"206,47";"0,25364864864864867"
"AAAA";"17.04.2020 13:55:28";"27.03.2021 12:25:02";"344";"7";"7";"129";"7";"7";"129";"519,89";"519,89";"649,39000000000000000000000041";"11967,33";"74,27";"92,77";"74,27";"92,77";"129,50";"0,24909115389793995"
"AAAA";"21.04.2020 15:42:16";"27.03.2021 12:25:02";"340";"10";"10";"129";"10";"10";"129";"757,50";"757,50";"927,7000000000000000000000002";"11967,33";"75,75";"92,77";"75,75";"92,77";"170,20";"0,2246864686468647"
"AAAA";"01.05.2020 14:48:20";"27.03.2021 12:25:02";"330";"10";"10";"129";"10";"10";"129";"732,30";"732,30";"927,7000000000000000000000002";"11967,33";"73,23";"92,77";"73,23";"92,77";"195,40";"0,26683053393418"
"AAAA";"17.11.2020 14:46:03";"27.03.2021 12:25:02";"130";"30";"30";"129";"30";"30";"129";"2565,30";"2565,30";"2783,0999999999999999999999995";"11967,33";"85,51";"92,77";"85,51";"92,77";"217,80";"0,08490235060226874"
"AAAC";"16.11.2019 15:12:53";"27.03.2021 12:24:43";"497";"15";"15";"262";"60";"60";"262";"1709,70";"1709,70";"2740,1999999999999999999999997";"11965,54";"113,98";"45,67";"28,495";"45,67";"1030,500";"0,6027373223372522"
